Major Heads,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23
Salaries,"74,200","86,945","1,02,000","1,29,836","1,35,771","1,34,091","1,47,471","1,63,453"
Capital Outlay,"79,950","86,357","90,438","89,783","1,06,483","1,31,803","1,44,786","1,44,304"
Pensions,"60,201","87,826","92,000","1,01,775","1,17,810","1,28,066","1,16,800","1,19,696"
Stores,"37,780","42,633","42,464","43,637","42,907","48,837","62,541","40,561"
Others,"41,788","47,790","52,800","38,427","50,026","42,884","29,083","57,152"
Total,"2,93,920","3,51,550","3,79,702","4,03,457","4,52,996","4,85,681","5,00,681","5,25,166"
